row_number,reason,raw_row
34365,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-11|529|22461|1587318.90
34483,servicing_npi,1104991066|A423525800|S5140|2021-07|185|8819|1583604.43
34546,servicing_npi,1477628758|A423525800|T2016|2020-10|183|5968|1581746.40
34627,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-04|686|19105|1579425.98
34667,servicing_npi,1477628758|A423525800|T2016|2020-11|183|6194|1578322.93
34772,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-04|531|22485|1574964.20
34800,servicing_npi,1043385420|A423525800|S5140|2022-07|177|5781|1573932.95
34869,servicing_npi,1134200942|A668967200|T2016|2020-04|140|4084|1571875.88
34960,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-03|524|22810|1568354.96
35054,servicing_npi,1477628758|A423525800|T2016|2020-07|175|6563|1566212.47
35213,servicing_npi,1316012263|A423525800|S5140|2022-03|150|5295|1561811.82
35247,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-05|632|18676|1560849.55
35527,servicing_npi,1043385420|A423525800|S5140|2021-08|160|6757|1552521.58
35587,servicing_npi,1477628758|A423525800|T2016|2021-01|166|5330|1550867.52
35652,servicing_npi,1043385420|A423525800|S5140|2021-09|164|6133|1548864.16
35713,servicing_npi,1316012263|A423525800|S5140|2022-01|153|5136|1546929.53
35814,servicing_npi,1316012263|A423525800|S5140|2022-06|148|4984|1544255.33
35873,servicing_npi,1447348172|A014968200|H2014|2019-01|274|4690|1542372.70
35976,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-07|621|17644|1539643.37
36019,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-06|673|18516|1538553.09
36254,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-01|628|17929|1531787.51
36314,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-03|452|58102|1529702.79
36318,servicing_npi,1376844332|586611|S0215|2020-02|750|10262|1529518.05
36328,servicing_npi,1306912282|A423525800|S5140|2021-06|183|7549|1529359.69
36362,servicing_npi,1992216766|A423525800|S5140|2022-02|224|6358|1528481.94
36479,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-03|627|18119|1525767.94
36515,servicing_npi,1134200942|A668967200|S5140|2021-07|120|3664|1524562.07
36528,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-01|514|22667|1524284.76
36654,servicing_npi,1477628758|A423525800|T2016|2020-06|176|5890|1521093.41
36928,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-02|705|18435|1512848.74
36968,servicing_npi,1316012263|A423525800|S5140|2021-12|153|5266|1511842.12
36970,servicing_npi,1972678266|A423525800|S5140|2021-09|188|5979|1511722.45
36979,servicing_npi,1134200942|A668967200|T2016|2020-03|144|4299|1511564.76
36984,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-08|612|17597|1511372.18
37000,servicing_npi,1376844332|586611|S0215|2020-01|767|10131|1511029.53
37008,billing_npi;servicing_npi,A705719901|A705719900|T2028|2019-01|426|22008|1510867.44
37116,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-06|621|17508|1507766.57
37143,servicing_npi,1972678266|A423525800|S5140|2022-02|212|5988|1506769.46
37198,servicing_npi,1477628758|A423525800|T2016|2020-09|183|5766|1505193.03
37250,servicing_npi,1992216766|A423525800|S5140|2021-11|213|6570|1503809.19
37352,billing_npi;servicing_npi,A632633100|A632633100|T1019|2019-09|650|17475|1501112.78
37492,servicing_npi,1417011263|A423525800|S5140|2022-05|148|4478|1497571.84
37685,billing_npi;servicing_npi,A544125100|A544125100|T2028|2019-03|600|22807|1492361.32
37701,servicing_npi,1447348172|M784450100|H2014|2019-10|275|8077|1491948.42
37706,servicing_npi,1477628758|A423525800|T2016|2020-05|178|6161|1491853.46
37797,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-04|625|17533|1489598.10
37855,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-10|605|17588|1488077.04
37925,servicing_npi,1992216766|A423525800|S5140|2021-10|200|6101|1485861.98
37933,servicing_npi,1447348172|A014968200|H2014|2018-09|283|4892|1485530.35
38094,servicing_npi,1447348172|A014968200|H2014|2019-03|263|5260|1481524.10
38171,servicing_npi,1104991066|A423525800|S5140|2021-06|175|8624|1479800.39
38177,billing_npi;servicing_npi,A976414300|A976414300|T2028|2018-12|463|20354|1479705.61
38356,servicing_npi,1306912282|A423525800|S5140|2021-05|177|5559|1474408.48
38412,servicing_npi,1417011263|A423525800|S5140|2022-06|152|4508|1473023.40
38526,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-01|462|15341|1470568.87
38624,servicing_npi,1447348172|A014968200|H2014|2018-12|276|4470|1468000.86
38651,servicing_npi,1972678266|A423525800|S5140|2021-08|175|6254|1467288.45
38860,servicing_npi,1831264290|A423525800|S5140|2022-05|161|5186|1462285.64
39093,billing_npi;servicing_npi,A747024001|A747024001|T2028|2019-02|515|19735|1456436.03
39128,servicing_npi,1477628758|A423525800|T2016|2020-04|177|5931|1455465.44
39188,servicing_npi,1134200942|A668967200|T2016|2018-05|147|4442|1453808.12
39495,billing_npi;servicing_npi,A632633100|A632633100|T1019|2018-12|584|16977|1446807.38
