billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1518096411,T2016,2022-04,MA,Case Management Agency,15942087.22,1114,14310.670754039498,8939.905870069606,23,5370.764883969892,5983032.08074246,2.2512899272602125
1750504064,T2016,2024-05,MA,Case Management Agency,12624669.47,743,16991.479771197846,9051.662797356828,23,7939.816973841018,5899284.011563877,3.5125083377095
1134260078,A0100,2023-01,MO,Secured Transport,6403106.7,168401,38.02297314148966,3.0,39,35.02297314148966,5897903.7,0.8373891295249133
1750504064,T2016,2024-04,MA,Case Management Agency,12406235.38,735,16879.23180952381,8886.788171846434,23,7992.443637677377,5874446.073692872,3.4430910603388645
1538144910,U0003,2021-09,NC,Clinical Lab,13037630.08,165964,78.55697669374081,43.4549356223176,35,35.10204107142321,5825675.144377681,1.314535916334113
1750504064,T2016,2024-06,MA,Case Management Agency,12305135.63,724,16996.043687845304,8970.664579439252,23,8025.379108406052,5810374.474485982,3.6019785584911275
1134260078,A0100,2022-08,MO,Secured Transport,6327629.81,180825,34.99311383934743,3.0194174757281553,39,31.973696363619275,5781643.644951455,0.8442388856627194
1275849283,00003,2018-10,CA,Family Medicine,17857996.97,63482,281.30803960177684,190.86,73,90.44803960177683,5741822.449999996,0.3366069084440343
1134260078,A0100,2022-06,MO,Secured Transport,6353088.66,204570,31.05581786185658,3.013157894736842,49,28.042659967119736,5736686.949473685,0.24515356867957425
1518098359,T1019,2021-05,MA,Case Management Agency,22901951.7,242244,94.54084187843661,70.92481459838504,44,23.61602728005157,5720840.912428812,-0.2861550050984432
1518096411,T2016,2022-02,MA,Case Management Agency,14840775.6,1077,13779.735933147633,8509.770765957446,23,5269.965167190187,5675752.485063831,2.110088754964325
1750504064,T2016,2021-02,MA,Case Management Agency,16158660.84,1103,14649.737842248413,9515.212593582886,23,5134.525248665526,5663381.349278076,2.6163411481845196
1134260078,A0100,2023-02,MO,Secured Transport,6117236.57,162497,37.64522772728112,3.0281708733762804,44,34.617056853904835,5625167.887588974,0.7560689058423546
1750504064,T2016,2020-03,MA,Case Management Agency,16472366.78,1084,15195.910313653136,10057.241169916435,23,5138.669143736701,5570317.351810584,2.7294160474309437
1134260078,A0100,2022-10,MO,Secured Transport,6073267.31,167112,36.3424967087941,3.0341943816596704,40,33.30830232713443,5566217.018492089,0.2752841223511996
1073854451,H2016,2019-04,NJ,Day Training/Habilitation,6077915.63,1544,3936.473853626943,337.35741308277727,36,3599.1164405441655,5557035.7842001915,2.5206702411380495
1518096411,T2016,2024-09,MA,Case Management Agency,16376357.05,1091,15010.409761686527,9933.210046296297,23,5077.19971539023,5539224.889490741,2.112773610291005
1134260078,A0100,2022-12,MO,Secured Transport,6013556.62,161198,37.30540465762603,3.0,38,34.30540465762603,5529962.62,1.1889566250847772
1134260078,A0100,2022-11,MO,Secured Transport,6008479.9,162205,37.04250732098271,3.046153846153846,35,33.996353474828865,5514378.515384616,0.7761421789653984
1518096411,T2016,2024-10,MA,Case Management Agency,16368985.41,1083,15114.483296398892,10028.51804964539,23,5085.965246753502,5508100.362234042,2.0108820824761016
1134260078,A0100,2022-09,MO,Secured Transport,5939090.69,150722,39.404272037260654,3.0,38,36.404272037260654,5486924.69,0.9338110842287379
1518096411,T2016,2024-07,MA,Case Management Agency,15706602.47,1141,13765.64633654689,9019.719864253395,23,4745.926472293495,5415102.104886877,2.1759879320446305
1275849283,00003,2018-09,CA,Family Medicine,16789247.28,60649,276.8264485811803,188.22,69,88.60644858118027,5373892.500000003,0.380907086636736
1699725143,A0100,2023-05,CO,Taxi,18847074.84,454830,41.437624694940965,29.640625,129,11.796999694940965,5365629.371249999,-0.07546211239463131
1134260078,A0100,2022-07,MO,Secured Transport,5846984.49,164294,35.588545473358735,3.0,40,32.588545473358735,5354102.49,0.9573595871488025
1023788031,H0004,2022-12,AZ,Community/Behavioral Health,5473415.24,1520,3600.9310789473684,84.02272727272727,209,3516.908351674641,5345700.694545454,3.040940832001235
1750504064,T2016,2023-07,MA,Case Management Agency,12231941.13,781,15661.896453265046,8891.753478260869,23,6770.142975004177,5287481.663478263,3.375608285075381
1275849283,00003,2018-05,CA,Family Medicine,16482372.83,59696,276.105146575985,188.22,69,87.88514657598498,5246391.709999999,0.4406818989913029
