specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
General Acute Care Hospital,2020-05,467564512.5199999,11413561,9125542,2337
Clinical Lab,2021-10,466189613.96,27655664,23388330,2550
Case Management Agency,2019-02,465903793.62,4332136,1049477,2094
Case Management Agency,2018-11,465220058.48999995,4210014,962415,2031
Day Training/Habilitation,2024-08,463551689.33000004,2731993,257478,1533
Federally Qualified Health Ctr,2024-07,462732462.9100001,8779483,7131872,3964
Day Training/Habilitation,2024-05,462292509.21000004,2775112,262137,1561
Day Training/Habilitation,2024-10,461935526.98999995,2680494,246649,1505
Mental Health Center,2023-03,461456858.12,3733941,1495996,2711
Case Management Agency,2018-07,461045408.00000006,4203609,933952,2014
Clinical Lab,2022-05,458778351.9399999,27542357,23251368,2566
In Home Supportive Care,2024-04,458754653.53000003,3622210,302458,2018
Day Training/Habilitation,2024-03,458388026.38,2721776,261431,1533
Day Training/Habilitation,2023-10,456468050.49000007,2815121,262452,1521
In Home Supportive Care,2024-06,456211049.1100001,3523797,300712,2018
Case Management Agency,2018-05,453867329.78999996,4118244,953669,2019
Federally Qualified Health Ctr,2021-03,453078964.9600001,8299162,6335080,3990
Clinical Lab,2021-11,453040411.9700001,26062461,22208938,2514
In Home Supportive Care,2024-09,452663358.1599999,3437135,304043,2066
Federally Qualified Health Ctr,2024-09,452528988.01,8804362,7203108,4225
Day Training/Habilitation,2023-08,452137609.89,2835326,262806,1509
Federally Qualified Health Ctr,2021-08,451846437.29,8602362,6682277,3954
Federally Qualified Health Ctr,2023-02,451563606.2900002,8899087,6864415,4264
Day Training/Habilitation,2024-07,451153409.07000005,2671322,254942,1531
Federally Qualified Health Ctr,2022-10,451117289.43,8721391,6929562,4248
Day Training/Habilitation,2024-01,450572837.37999994,2674683,257168,1517
Clinical Lab,2020-12,450360664.99000007,22540203,19060457,2397
Federally Qualified Health Ctr,2023-09,449937324.79999983,9308807,7346454,4326
Federally Qualified Health Ctr,2023-06,448708369.44000006,9060954,7010917,4080
In Home Supportive Care,2024-01,448404954.81999993,3598757,292357,1976
Case Management Agency,2018-09,447743841.34999996,3960958,918808,2037
Day Training/Habilitation,2024-04,447181965.6000001,2725650,263152,1552
Clinical Lab,2021-01,446807337.7500001,24819032,21202328,2420
Federally Qualified Health Ctr,2023-04,446720523.54,8904970,6878640,4257
Federally Qualified Health Ctr,2022-08,446375784.9800001,8896355,6989804,4128
Clinical Lab,2023-01,445670722.02000004,28961376,24539133,2553
Federally Qualified Health Ctr,2021-09,445116274.03000003,8507121,6589772,4020
Day Training/Habilitation,2024-09,443998641.74000007,2528541,253534,1533
Day Training/Habilitation,2024-02,442426324.84,2668377,261907,1526
Clinical Lab,2022-06,441546304.28000003,27623200,23516954,2572
In Home Supportive Care,2023-12,441309318.21000004,3467874,290430,1967
In Home Supportive Care,2023-10,441253420.8799999,3560610,290545,1985
Case Management Agency,2018-06,440209560.55,3964581,919009,2003
Day Training/Habilitation,2023-05,438435148.32000005,2769441,272513,1523
Mental Health Center,2023-01,438381854.86999995,3570218,1393523,2590
Federally Qualified Health Ctr,2022-09,438194392.74,8642391,6755941,4209
Clinical Lab,2022-09,437954817.66,27463125,23233998,2570
Case Management Agency,2018-03,437871386.87,3956224,929476,2009
Day Training/Habilitation,2023-11,437618397.1100001,2641869,256777,1524
In Home Supportive Care,2024-11,436227968.8500001,3283748,279238,2013
Federally Qualified Health Ctr,2021-04,436052388.1100002,7855729,6081472,3949
Day Training/Habilitation,2022-08,434572906.74999994,2709241,263027,1497
Clinical Lab,2023-05,434461971.62,28963698,25152399,2542
In Home Supportive Care,2024-02,434325718.53999996,3445408,294126,1980
Case Management Agency,2018-04,434141270.02000004,3941284,944239,2007
Federally Qualified Health Ctr,2022-01,433469390.80999994,7927141,6152086,4024
Day Training/Habilitation,2023-12,433253136.3899999,2536919,251211,1514
Day Training/Habilitation,2024-06,432808065.49,2543228,256946,1542
Clinical Lab,2022-02,432280530.47999996,26159949,22386447,2533
Case Management Agency,2018-01,431635393.29999995,3943506,942458,2006
Federally Qualified Health Ctr,2023-12,430996935.65000004,8698592,6848627,4271
In Home Supportive Care,2023-11,429275865.24999994,3431132,290850,1968
Day Training/Habilitation,2023-09,429245534.82,2627369,255639,1508
Day Training/Habilitation,2023-07,429131890.69000006,2597778,251614,1495
Federally Qualified Health Ctr,2021-10,428218371.5900001,8043911,6404985,4041
Clinical Lab,2024-01,428002608.03000003,25906088,23005813,2371
Federally Qualified Health Ctr,2024-06,427096084.9400002,8156786,6561143,3949
Clinical Lab,2022-04,424953063.57999986,26687244,22961146,2547
Clinical Lab,2021-03,424473106.68999994,27610833,24063068,2497
In Home Supportive Care,2023-09,421939584.12,3409399,289436,1958
Federally Qualified Health Ctr,2022-04,421709842.2,7864456,6093463,4092
Clinical Lab,2022-11,421537946.79,25212701,21779431,2537
Clinical Lab,2022-10,420314330.7099999,26593599,22884685,2583
Day Training/Habilitation,2023-06,420274756.49,2675815,265701,1512
In Home Supportive Care,2023-08,420011858.80999994,3472457,287782,1957
Mental Health Center,2023-05,419342381.84000003,3648374,1463551,2728
Federally Qualified Health Ctr,2021-11,417869226.90999997,8166167,6409232,3999
Federally Qualified Health Ctr,2021-06,417090212.27,7581347,5841382,3860
Mental Health Center,2023-04,416249149.29999995,3376191,1397537,2712
Day Training/Habilitation,2023-03,416148157.36,2607130,270099,1508
Federally Qualified Health Ctr,2022-12,413865400.65,8127011,6419702,4145
Clinical Lab,2023-04,413133257.81999993,26951913,23092907,2536
Day Training/Habilitation,2022-07,412372428.99000007,2499845,250312,1481
Clinical Lab,2023-02,411616961.09,27122923,23326334,2571
Mental Health Center,2023-02,411517811.90000004,3278832,1357094,2605
Day Training/Habilitation,2022-10,411133915.86999995,2617357,259275,1499
Clinical Lab,2023-10,408295665.23999995,25759076,22834377,2423
Clinical Lab,2020-11,407715854.3500001,21965883,18844128,2373
Federally Qualified Health Ctr,2023-07,407554175.9499999,8220453,6443110,3995
Clinical Lab,2024-02,407473499.24999994,25655512,22761058,2344
Clinical Lab,2023-08,406779311.4400001,27367689,24328452,2420
Federally Qualified Health Ctr,2022-02,406426902.67999995,7540855,5893579,4047
Day Training/Habilitation,2022-09,406371606.0500001,2587801,256156,1491
Clinical Lab,2022-07,406105235.08,25433282,21693251,2535
Mental Health Center,2023-08,405871910.28,3496075,1429916,2705
Day Training/Habilitation,2022-11,405527255.51000005,2545649,258194,1490
Day Training/Habilitation,2023-01,403429543.79999995,2550374,260878,1498
Day Training/Habilitation,2023-04,403144839.26000005,2534970,266171,1518
Federally Qualified Health Ctr,2021-07,403038026.71000004,7496261,5748284,3799
In Home Supportive Care,2023-07,402947124.43999994,3300617,279429,1944
Federally Qualified Health Ctr,2022-11,402224260.23,8248328,6551654,4228
Federally Qualified Health Ctr,2021-12,401742315.87999994,7701969,6063946,3972
Clinical Lab,2021-04,401005240.8300001,25797759,22601272,2500
Case Management Agency,2018-02,399080737.7200001,3637607,908930,2003
Day Training/Habilitation,2022-05,398130132.45,2580673,257219,1489
Clinical Lab,2022-12,397844523.67000014,24199952,20813719,2529
Day Training/Habilitation,2024-11,397814939.64000005,2292356,219451,1417
Federally Qualified Health Ctr,2021-05,397660141.02000004,7085416,5509108,3917
Clinical Lab,2024-04,396544135.3900001,26405071,23647703,2317
Federally Qualified Health Ctr,2020-01,394919438.78,7665127,5817037,3857
Day Training/Habilitation,2022-06,394251380.79,2571647,255936,1489
Day Training/Habilitation,2022-12,392282169.2700001,2476248,254221,1498
Clinical Lab,2024-05,390334946.38,25763322,23096809,2304
Federally Qualified Health Ctr,2020-10,390022299.86999995,6896089,5405118,3789
In Home Supportive Care,2023-05,389131560.97,3311013,278733,1945
Mental Health Center,2022-08,387723763.70000005,3354725,1326248,2440
Mental Health Center,2022-10,386839959.5399999,3330529,1327369,2493
Mental Health Center,2023-10,386700224.23,3349681,1402404,2678
Clinical Lab,2024-03,386695174.09,25507091,22876076,2334
In Home Supportive Care,2023-06,386159754.75,3239337,278892,1953
Mental Health Center,2022-11,385858345.09000003,3241002,1320746,2511
Clinical Lab,2023-11,385153073.47,23338772,20780795,2370
Mental Health Center,2024-01,383632538.69,3263892,1352267,2730
Mental Health Center,2024-04,383076886.83000004,3148470,1354321,2747
Clinical Lab,2020-10,382621801.31000006,23550853,20314249,2378
Mental Health Center,2022-12,382045815.00000006,3132955,1264752,2501
Mental Health Center,2022-09,381823314.3400001,3264506,1300145,2459
Mental Health Center,2022-03,381276106.17999995,3528628,1418000,2365
Mental Health Center,2024-03,381263896.7799999,3125728,1343401,2727
Mental Health Center,2024-05,380989547.64,3043346,1314768,2739
Day Training/Habilitation,2022-03,378656184.11,2620453,250693,1463
Clinical Lab,2023-09,378032937.53,24250789,21598157,2409
Mental Health Center,2024-02,377745606.71,3176055,1349342,2730
Mental Health Center,2023-06,377050429.45000005,3319080,1355637,2694
Federally Qualified Health Ctr,2021-01,374932236.0300001,6704744,5045715,3772
Day Training/Habilitation,2023-02,374920351.75,2337002,260059,1491
In Home Supportive Care,2023-03,372554088.50999993,3166898,269393,1914
Federally Qualified Health Ctr,2024-11,372388519.15999997,7186408,5915909,3943
Clinical Lab,2023-06,371808675.8299999,26635721,23617837,2408
Clinical Lab,2021-07,369066143.79,24804121,21630936,2461
Federally Qualified Health Ctr,2020-12,368332905.28,6626247,5026075,3728
Day Training/Habilitation,2022-04,365491100.7600001,2502094,250216,1467
In Home Supportive Care,2023-04,365309798.09,3091036,270825,1913
Clinical Lab,2021-02,364365326.72999996,22651229,19615747,2423
Clinical Lab,2024-07,363834766.02,24898564,22345862,2245
Mental Health Center,2023-11,363800827.3000001,3161135,1336361,2681
Clinical Lab,2024-08,363614617.96,25183853,22778673,2249
Mental Health Center,2023-09,363456045.97,3147737,1334884,2640
Federally Qualified Health Ctr,2021-02,361612114.27000004,6385137,4889122,3794
Clinical Lab,2023-12,361401143.72999996,21232421,18795345,2302
Federally Qualified Health Ctr,2020-02,359668614.03,6881401,5265670,3851
Federally Qualified Health Ctr,2022-05,359500291.6999999,7185123,5558209,4096
Mental Health Center,2023-07,358670887.97,3142713,1281298,2643
Clinical Lab,2021-06,358569249.91,25029079,22183010,2489
In Home Supportive Care,2022-12,358038953.95000005,3039824,261087,1880
Federally Qualified Health Ctr,2019-10,357414787.15000004,8026363,5931796,3857
In Home Supportive Care,2023-01,357158420.74,3089703,262123,1882
Clinical Lab,2024-10,355594704.5800001,24581122,22246925,2198
Federally Qualified Health Ctr,2020-09,355200580.8299999,6697079,5072889,3702
Mental Health Center,2022-05,354708320.4999999,3234834,1330289,2363
Clinical Lab,2021-05,354115958.26000005,23631557,20748394,2465
Mental Health Center,2022-04,350777018.85999995,3207633,1331068,2340
Clinical Lab,2023-07,350519445.0600001,24503823,21788815,2376
Federally Qualified Health Ctr,2020-11,349498615.11,6266236,4881457,3722
Clinical Lab,2024-06,349202399.59999996,23061658,20839317,2253
Federally Qualified Health Ctr,2019-04,349130621.00000006,6158255,4656684,3725
Federally Qualified Health Ctr,2018-10,348850689.56,6418465,4902490,3632
Mental Health Center,2022-06,347921154.1400001,3143253,1287947,2366
Mental Health Center,2021-03,347885830.34000003,3513833,1406214,2193
Federally Qualified Health Ctr,2022-06,346998844.23999995,7088993,5454809,3950
In Home Supportive Care,2022-10,345670165.02,2966476,260187,1872
Federally Qualified Health Ctr,2020-07,345591867.47999996,6248984,4558626,3519
General Acute Care Hospital,2020-04,344971838.0,8224869,6444672,2273
In Home Supportive Care,2022-11,343346196.67999995,2954769,261678,1874
In Home Supportive Care,2022-08,342896565.1999999,3038543,261251,1870
Federally Qualified Health Ctr,2019-01,342581965.29999995,6000993,4579915,3623
Federally Qualified Health Ctr,2019-05,342152369.8,6142028,4551569,3690
Clinical Lab,2020-09,341748930.21,21983178,18971882,2306
Clinical Lab,2020-07,340958188.10999995,21125593,18410908,2218
Federally Qualified Health Ctr,2019-03,340718166.8000001,5921394,4550547,3664
Day Training/Habilitation,2021-12,339649557.34999996,2430825,244076,1432
Clinical Lab,2024-09,337643318.28,23012810,20949078,2213
Federally Qualified Health Ctr,2020-08,335828842.6899999,6105290,4597820,3544
Day Training/Habilitation,2021-07,334556599.81000006,2402810,245145,1445
Day Training/Habilitation,2022-01,333983141.72,2316473,239962,1437
Mental Health Center,2022-07,333140335.11999995,2964464,1187033,2350
Mental Health Center,2024-06,333021986.63,2668977,1184143,2692
Day Training/Habilitation,2021-08,332689042.73,2410434,248461,1443
Day Training/Habilitation,2021-10,332608670.33,2445031,242486,1417
In Home Supportive Care,2022-07,331661417.4400001,2915709,255962,1860
Federally Qualified Health Ctr,2018-08,331196635.13,5572571,4237552,3466
In Home Supportive Care,2023-02,330418464.48,2810552,261373,1885
In Home Supportive Care,2022-09,329545071.84000003,2961144,259441,1849
Mental Health Center,2023-12,329425020.1299999,2886875,1230106,2644
Day Training/Habilitation,2021-11,326380145.19000006,2380225,242504,1437
Federally Qualified Health Ctr,2018-01,325438537.8299999,5318241,4038354,3388
Day Training/Habilitation,2022-02,324029414.39,2246039,240301,1436
Mental Health Center,2021-04,323201430.90999997,3242196,1330487,2177
Federally Qualified Health Ctr,2018-05,322937394.0299999,5246830,4051018,3461
Mental Health Center,2022-02,322587182.87,3006584,1273047,2279
Clinical Lab,2020-08,322353232.3600001,20763976,18075873,2240
Pediatrics,2022-11,321105577.79999983,10090826,8510960,8011
Day Training/Habilitation,2021-06,320199565.6999999,2413121,253044,1443
Federally Qualified Health Ctr,2020-06,318131585.82000005,5777630,4152225,3460
Pediatrics,2022-10,317812750.01000005,10416581,8779170,7988
Mental Health Center,2021-06,317593442.42,3121212,1284168,2226
Pediatrics,2023-03,317471162.71999997,9902873,8270113,7838
In Home Supportive Care,2022-05,317029103.83000004,2970196,253664,1840
Federally Qualified Health Ctr,2019-02,315878226.2300001,5591610,4300687,3611
Mental Health Center,2022-01,315616654.40000004,3071683,1264267,2276
Day Training/Habilitation,2021-09,315337200.88,2339352,238946,1407
In Home Supportive Care,2022-06,315033266.95,2927172,256371,1842
Federally Qualified Health Ctr,2018-03,314487055.95,5110737,3966466,3436
Federally Qualified Health Ctr,2019-12,314205102.31,6279535,4739255,3742
Day Training/Habilitation,2021-03,313924486.14,2455460,244101,1385
Federally Qualified Health Ctr,2022-07,312960055.22,6385300,4986086,3846
Mental Health Center,2021-10,312595330.01,3042104,1273401,2235
Day Training/Habilitation,2021-05,312052721.69000006,2356030,251911,1425
Mental Health Center,2021-11,311690443.9200001,3013883,1259552,2218
Mental Health Center,2020-10,310520765.92999995,3206559,1275368,1993
Mental Health Center,2021-09,309374192.68,3013203,1258396,2209
Federally Qualified Health Ctr,2018-04,306710771.54,5015168,3899113,3454
Federally Qualified Health Ctr,2019-08,306506349.32000005,6512483,4867168,3601
Day Training/Habilitation,2021-04,305967810.06,2384095,250218,1404
Mental Health Center,2021-05,305870812.14,3058147,1272320,2161
Mental Health Center,2021-08,305757536.61,3027149,1248705,2213
In Home Supportive Care,2022-04,305020754.1499999,2857870,253445,1833
Mental Health Center,2021-12,304498758.07,2943076,1233559,2234
Mental Health Center,2021-07,303638321.62,2978048,1205329,2197
ID/MR Community,2024-03,303594384.09999996,1130018,90503,622
